;;380.2414 s;;;9.0735 s;;;4.4095 s;358.7403 s;95.5363 s;106.2883 s;176.9613 s;376.4479 s;89.2441 s
Brute X;Brute Y;time;Quad X;Quad Y;time;Breadth X;Breadth Y;time;Brute;Rand;Double;Round;Breadth;Round&Double
0;0;0.7241 s;292;400;0.0140 s;292;400;0.0110 s;0.6710 s;0.0110 s;0.1980 s;0.0450 s;0.0650 s;0.0230 s
0;0;0.5435 s;363;301;0.0170 s;363;301;0.0110 s;0.4995 s;0.0509 s;0.1495 s;0.0316 s;0.0360 s;0.0150 s
0;0;0.8042 s;320;443;0.0250 s;320;443;0.0110 s;0.7874 s;0.0070 s;0.2241 s;0.0250 s;0.0980 s;0.0130 s
0;0;0.6790 s;370;372;0.0250 s;370;372;0.0140 s;0.6206 s;0.0440 s;0.1825 s;0.0010 s;0.0000 s;0.0000 s
0;0;0.6729 s;398;363;0.0200 s;397;363;0.0140 s;0.6120 s;0.0050 s;0.1790 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.5454 s;160;310;0.0160 s;160;310;0.0050 s;0.5225 s;0.0380 s;0.1541 s;0.4610 s;0.8361 s;0.2320 s
0;0;0.8000 s;407;435;0.0140 s;407;435;0.0130 s;0.7467 s;0.0099 s;0.2215 s;0.0130 s;0.0350 s;0.0070 s
0;0;0.7779 s;436;420;0.0180 s;436;420;0.0120 s;0.7199 s;0.0460 s;0.2130 s;0.0160 s;0.0550 s;0.0080 s
0;0;1.3691 s;0;0;0.0000 s;0;0;0.0000 s;1.3628 s;1.5707 s;0.4060 s;1.5834 s;3.5168 s;0.8446 s
0;0;1.3721 s;0;0;0.0000 s;0;0;0.0000 s;1.3750 s;1.6006 s;0.4160 s;1.6095 s;3.4977 s;0.8076 s
0;0;0.9090 s;240;483;0.0150 s;240;483;0.0070 s;0.8406 s;0.0200 s;0.2485 s;0.1600 s;0.5960 s;0.0790 s
0;0;0.8006 s;618;396;0.0240 s;618;396;0.0060 s;0.6765 s;0.0170 s;0.2045 s;0.6052 s;0.7011 s;0.3050 s
0;0;1.3869 s;0;0;0.0000 s;0;0;0.0000 s;1.3941 s;1.5940 s;0.4108 s;1.6286 s;3.5479 s;0.8341 s
0;0;1.3643 s;0;0;0.0000 s;0;0;0.0000 s;1.3591 s;1.5812 s;0.4057 s;1.5918 s;3.5185 s;0.8057 s
0;0;0.7434 s;332;404;0.0160 s;332;404;0.0130 s;0.6945 s;0.0415 s;0.2048 s;0.0060 s;0.0160 s;0.0030 s
0;0;0.6473 s;366;352;0.0290 s;366;352;0.0140 s;0.5975 s;0.0335 s;0.1756 s;0.0000 s;0.0000 s;0.0000 s
0;0;1.0152 s;391;547;0.0170 s;391;547;0.0090 s;0.9766 s;0.0370 s;0.2886 s;0.2663 s;0.2951 s;0.1345 s
0;0;0.7752 s;21;439;0.0090 s;21;439;0.0010 s;0.7646 s;0.0140 s;0.2280 s;1.3911 s;1.9908 s;0.6916 s
0;0;0.6720 s;404;362;0.0300 s;404;362;0.0140 s;0.6359 s;0.0010 s;0.1817 s;0.0010 s;0.0000 s;0.0000 s
0;0;1.3550 s;500;703;0.0210 s;500;703;0.0020 s;1.2851 s;0.0160 s;0.3806 s;1.1662 s;2.2482 s;0.5780 s
0;0;0.6041 s;387;331;0.0280 s;387;331;0.0131 s;0.5518 s;0.0100 s;0.1605 s;0.0050 s;0.0060 s;0.0020 s
0;0;0.6671 s;375;371;0.0140 s;375;371;0.0140 s;0.6090 s;0.0140 s;0.1820 s;0.0000 s;0.0000 s;0.0000 s
0;0;0.5170 s;420;283;0.0262 s;420;283;0.0100 s;0.4687 s;0.0372 s;0.1393 s;0.0595 s;0.1280 s;0.0305 s
0;0;0.6791 s;359;373;0.0170 s;359;373;0.0140 s;0.6223 s;0.0060 s;0.1830 s;0.0000 s;0.0000 s;0.0000 s
