Quad X;Quad Y;Breadth X;Breadth Y;;Theta;Phi
444;304;444;304;;52,646;-43,363
130;449;130;449;;27,039;106,528
379;339;379;339;;73,809;-4,635
297;316;297;316;;52,603;52,784
162;383;162;383;;31,453;91,873
325;353;325;353;;66,482;65,726
533;473;533;473;;35,291;-121,709
377;353;377;353;;79,629;-2,49
0;0;0;0;;0;0
525;402;525;402;;40,809;-99,898
622;369;622;369;;28,036;-88,37
263;339;263;339;;47,6;71,87
0;0;0;0;;0;0
480;464;480;464;;43,714;-130,236
407;376;407;376;;76,307;-88,152
713;368;713;368;;21,267;-88,64
681;389;681;389;;23,249;-92,441
0;0;0;0;;0;0
417;377;417;377;;72,281;-91,397
404;216;404;216;;38,815;-9,926
311;414;311;414;;59,778;120,311
331;234;331;234;;41,221;17,583
0;0;0;0;;0;0
127;383;127;383;;27,75;91,61
343;302;343;302;;57,964;24,034
382;391;382;391;;82,441;-158,199
250;400;250;400;;45,475;100,784
0;0;0;0;;0;0
404;236;404;236;;42,433;-11,31
379;376;379;376;;88,054;-71,565
346;386;346;386;;75,966;108,435
365;313;365;313;;63,674;9,904
357;350;357;350;;75,677;36,158
332;346;332;346;;67,45;55,713
175;375;175;375;;33,082;89,715
429;466;429;466;;51,198;-149,507
353;417;353;417;;69,818;150,709
350;391;350;391;;76,586;119,982
374;509;374;509;;44,475;179,138
382;363;382;363;;83,217;-24,775
372;398;372;398;;79,86;169,695
376;377;376;377;;88,769;135
151;586;151;586;;23,056;133,025
387;363;387;363;;82,024;-40,236
326;394;326;394;;67,532;109,799
325;459;325;459;;53,104;148,431
413;374;413;374;;73,846;-86,906
399;396;399;396;;76,378;-131,009
195;45;195;45;;19,167;28,671
485;460;485;460;;43,431;-127,619
132;123;132;123;;20,451;43,963
371;302;371;302;;60,242;3,865
418;456;418;456;;55,129;-152,301
411;412;411;412;;68,581;-135,807
414;379;414;379;;73,411;-94,514
405;465;405;465;;54,213;-161,952
0;0;0;0;;0;0
385;262;385;262;;48,744;-4,514
335;435;335;435;;60,903;145,204
428;438;428;438;;57,97;-140,013
549;169;549;169;;25,886;-39,887
405;336;405;336;;68,891;-35,942
391;390;391;390;;80,538;-133,025
0;0;0;0;;0;0
431;513;431;513;;41,465;-158,127
415;348;415;348;;69,422;-54,324
407;688;407;688;;22,698;-174,326
384;381;384;381;;85,301;-122,005
198;356;198;356;;36,136;83,589
431;206;431;206;;36,181;-17,928
506;338;506;338;;43,915;-73,706
600;467;600;467;;28,43;-112,109
561;459;561;459;;32,815;-114,163
320;321;320;321;;58,734;45,516
509;613;509;613;;25,726;-150,7
0;0;0;0;;0;0
422;272;422;272;;48,841;-23,86
472;342;472;342;;51,918;-70,498
369;256;369;256;;47,341;3,338
81;463;81;463;;23,082;106,432
500;249;500;249;;36,337;-44,315
315;82;315;82;;23,584;11,722
349;447;349;447;;59,586;159,179
257;7;257;7;;18,692;17,874
290;235;290;235;;38,317;31,38
417;364;417;364;;71,526;-73,686
485;390;485;390;;49,849;-97,319
698;493;698;493;;20,941;-109,969
417;399;417;399;;69,818;-119,291
395;334;395;334;;70,183;-24,341
347;435;347;435;;62,99;153,825
466;415;466;415;;52,935;-113,429
0;0;0;0;;0;0
441;453;441;453;;52,174;-139,83
406;332;406;332;;67,45;-34,287
531;365;531;365;;40,067;-85,941
224;339;224;339;;39,854;76,319
407;410;407;410;;70,183;-137,643
433;351;433;351;;64,22;-66,318
372;282;372;282;;54,137;2,437
394;376;394;376;;81,74;-86,82
430;662;430;662;;24,244;-169,308
0;0;0;0;;0;0
323;276;323;276;;48,967;27,924
389;330;389;330;;69,562;-15,781
0;0;0;0;;0;0
502;391;502;391;;45,794;-96,789
296;295;296;295;;48,787;44,644
497;221;497;221;;33,604;-37,977
371;456;371;456;;58,318;176,424
372;383;372;383;;85,9;150,255
0;0;0;0;;0;0
396;376;396;376;;80,893;-87,138
313;347;313;347;;61,76;65,283
350;372;350;372;;78,214;81,254
360;365;360;365;;81,015;55,491
263;398;263;398;;48,532;101,017
253;557;253;557;;30,861;145,802
736;167;736;167;;17,49;-59,862
574;444;574;444;;31,998;-108,954
371;377;371;377;;87,249;101,31
392;260;392;260;;48,064;-7,853
0;0;0;0;;0;0
250;481;250;481;;38,503;129,806
240;116;240;116;;24,058;27,613
414;379;414;379;;73,411;-94,514
0;0;0;0;;0;0
477;434;477;434;;48,159;-119,867
0;0;0;0;;0;0
398;260;398;260;;47,821;-10,739
366;372;366;372;;84,754;68,199
381;385;381;385;;84,936;-150,945
449;480;449;480;;45,693;-144,934
96;504;96;504;;23,056;114,567
558;509;558;509;;30,123;-126,158
355;193;355;193;;35,381;6,546
0;0;0;0;;0;0
460;100;460;100;;24,427;-16,928
290;421;290;421;;53,21;117,621
389;388;389;388;;81,74;-132,709
399;350;399;350;;74,65;-41,496
71;484;71;484;;22,054;109,499
384;367;384;367;;84,163;-41,634
441;266;441;266;;45,541;-30,579
244;249;244;249;;35,486;46,106
402;322;402;322;;65,034;-25,71
377;380;377;380;;87,657;-165,964
398;403;398;403;;74,605;-140,826
453;403;453;403;;57,8;-109,323
474;316;474;316;;48,536;-58,523
