;;380.6771 s;;;142.4633 s;;;138.5619 s;;;109.1982 s;;;394.8132 s;;;93.6671 s;133.4111 s;105.2371 s;177.1936 s;390.8702 s;89.6806 s;;;
Brute X;Brute Y;time;Rand X;Rand Y;time;R_Breadth X;R_Breadth Y;time;D_Breadth X;D_Breadth Y;time;Ro_Breadth X;Ro_Breadth Y;time;Br_Breadth X;Br_Breadth Y;time;RoD_Breadth X;RoD_Breadth Y;time;rand time;double time;round time;breadth;ro_do
292;400;0.7360 s;292;400;0.0260 s;292;400;0.0140 s;292;400;0.0100 s;292;400;0.0101 s;292;400;0.0100 s;292;400;0.0100 s;0.0060 s;0.1964 s;0.0440 s;0.0670 s;0.0220 s
363;301;0.5506 s;363;301;0.0189 s;363;301;0.0140 s;363;301;0.0120 s;363;301;0.0110 s;363;301;0.0100 s;363;301;0.0110 s;0.0010 s;0.1469 s;0.0310 s;0.0370 s;0.0160 s
320;443;0.8172 s;320;443;0.0120 s;320;443;0.0140 s;320;443;0.0110 s;320;443;0.0110 s;320;443;0.0100 s;320;443;0.0100 s;0.0010 s;0.2248 s;0.0239 s;0.1002 s;0.0130 s
370;372;0.6838 s;370;372;0.0290 s;370;372;0.0180 s;370;372;0.0140 s;370;372;0.0140 s;370;372;0.0128 s;370;372;0.0130 s;0.0012 s;0.1860 s;0.0000 s;0.0000 s;0.0000 s
398;363;0.6761 s;398;363;0.0215 s;397;363;0.0182 s;398;363;0.0130 s;398;363;0.0120 s;398;363;0.0130 s;398;363;0.0130 s;0.0010 s;0.1940 s;0.0000 s;0.0000 s;0.0000 s
160;310;0.5678 s;160;310;0.0200 s;160;310;0.0070 s;160;310;0.0050 s;160;310;0.0050 s;160;310;0.0080 s;160;310;0.0050 s;0.0040 s;0.1555 s;0.4729 s;0.9252 s;0.2510 s
407;435;0.9565 s;407;435;0.0240 s;407;435;0.0190 s;407;435;0.0140 s;407;435;0.0145 s;407;435;0.0140 s;407;435;0.0130 s;0.0010 s;0.2845 s;0.0150 s;0.0520 s;0.0070 s
436;420;0.8165 s;436;420;0.0190 s;436;420;0.0150 s;436;420;0.0110 s;436;420;0.0110 s;436;420;0.0100 s;436;420;0.0110 s;0.0120 s;0.2157 s;0.0160 s;0.0590 s;0.0090 s
0;0;1.3951 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.6667 s;0.4073 s;1.7850 s;4.1576 s;0.8345 s
0;0;1.4629 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;0;0;0.0000 s;2.6514 s;0.4100 s;1.6364 s;3.7278 s;0.8285 s
240;483;0.8829 s;240;483;0.0250 s;240;483;0.0090 s;240;483;0.0070 s;240;483;0.0071 s;240;483;0.0090 s;240;483;0.0080 s;0.0030 s;0.2490 s;0.1610 s;0.6161 s;0.0870 s
618;396;0.7633 s;618;396;0.0150 s;618;396;0.0070 s;618;396;0.0050 s;618;396;0.0040 s;618;396;0.0050 s;618;396;0.0050 s;0.0050 s;0.2060 s;0.6073 s;0.7173 s;0.3067 s
