Quad X;Quad Y;Breadth X;Breadth Y;;Theta;Phi
444;304;444;304;;52.646;-43.386
130;449;130;449;;27.039;106.678
379;339;379;339;;73.809;-6.009
297;316;297;316;;52.603;52.674
162;383;162;383;;31.453;92.131
325;353;325;353;;66.482;65.225
533;473;533;473;;35.291;-121.809
377;353;377;353;;79.629;-4.764
0;0;0;0;;0;0
525;402;525;402;;40.809;-100.204
622;369;622;369;;28.036;-88.145
263;339;263;339;;47.6;71.565
0;0;0;0;;0;0
480;464;480;464;;43.714;-130.285
407;376;407;376;;76.307;-86.424
713;368;713;368;;21.267;-88.475
681;389;681;390;;23.249;-92.62
0;0;0;0;;0;0
417;377;417;377;;72.281;-92.726
404;216;404;216;;38.815;-10.211
311;414;311;414;;59.778;120.579
331;234;331;234;;41.221;17.832
0;0;0;0;;0;0
127;383;127;383;;27.75;91.833
343;302;343;302;;57.964;24.386
382;391;382;391;;82.441;-156.371
250;400;250;400;;45.475;101.136
0;0;0;0;;0;0
404;236;404;236;;42.433;-11.622
379;376;379;376;;88.054;-63.435
346;386;346;386;;75.966;109.537
365;313;365;313;;63.674;10.62
357;350;357;350;;75.677;36.529
332;346;332;346;;67.45;55.437
175;375;175;375;;33.082;89.433
429;466;429;466;;51.198;-149.315
353;417;353;417;;69.818;150.255
350;391;350;391;;76.586;120.651
374;509;374;509;;44.475;178.717
382;363;382;363;;83.217;-26.565
372;398;372;398;;79.86;167.735
376;377;376;377;;88.769;135.0
151;586;151;586;;23.056;133.034
387;363;387;363;;82.024;-40.601
326;394;326;394;;67.532;110.433
325;459;325;459;;53.104;148.241
413;374;413;374;;73.846;-85.486
399;396;399;396;;76.378;-131.186
195;45;195;45;;19.167;28.731
485;460;485;460;;43.431;-127.694
132;123;132;123;;20.451;43.967
371;302;371;302;;60.242;4.574
418;456;418;456;;55.129;-152.038
411;412;411;412;;68.581;-135.785
414;379;414;379;;73.411;-95.856
405;465;405;465;;54.213;-161.565
0;0;0;0;;0;0
385;262;385;262;;48.744;-4.97
335;435;335;435;;60.903;145.008
428;438;428;438;;57.97;-139.927
549;169;549;169;;25.886;-39.914
405;336;405;336;;68.891;-36.193
391;390;391;390;;80.538;-133.152
0;0;0;0;;0;0
431;513;431;513;;41.465;-157.913
415;348;415;348;;69.422;-54.058
407;688;407;688;;22.698;-174.163
384;381;384;381;;85.301;-123.69
198;356;198;356;;36.136;83.309
431;206;431;206;;36.181;-18.133
506;338;506;338;;43.915;-73.421
600;467;600;467;;28.43;-112.239
561;459;561;459;;32.815;-114.305
320;321;320;321;;58.734;45.507
509;613;509;613;;25.726;-150.619
0;0;0;0;;0;0
422;272;422;272;;48.841;-24.114
472;342;472;342;;51.918;-70.159
369;256;369;256;;47.341;3.783
81;463;81;463;;23.082;106.557
500;249;500;249;;36.337;-44.321
315;82;315;82;;23.584;11.869
349;447;349;447;;59.586;158.749
257;7;257;7;;18.692;17.969
290;235;290;235;;38.317;31.495
417;364;417;364;;71.526;-72.801
485;390;485;390;;49.849;-97.765
698;493;698;493;;20.941;-110.069
417;399;417;399;;69.818;-119.745
395;334;395;334;;70.183;-24.944
347;435;347;435;;62.99;153.435
466;415;466;415;;52.935;-113.728
0;0;0;0;;0;0
441;453;441;453;;52.174;-139.764
406;332;406;332;;67.45;-34.563
531;365;531;365;;40.067;-85.601
224;339;224;339;;39.854;76.052
407;410;407;410;;70.183;-137.564
433;351;433;351;;64.22;-65.854
372;282;372;282;;54.137;3.013
394;376;394;376;;81.74;-83.991
430;662;430;662;;24.244;-169.152
0;0;0;0;;0;0
323;276;323;276;;48.967;28.131
389;330;389;330;;69.562;-16.587
0;0;0;0;;0;0
502;391;502;391;;45.794;-97.181
296;295;296;295;;48.787;44.648
497;221;497;221;;33.604;-38.027
371;456;371;456;;58.318;175.764
372;383;372;383;;85.9;147.995
0;0;0;0;;0;0
396;376;396;376;;80.893;-84.56
313;347;313;347;;61.76;64.885
350;372;350;372;;78.214;79.509
360;365;360;365;;81.015;54.782
263;398;263;398;;48.532;101.407
253;557;253;557;;30.861;145.733
736;167;736;167;;17.49;-59.813
574;444;574;444;;31.998;-109.123
371;377;371;377;;87.249;108.435
392;260;392;260;;48.064;-8.267
0;0;0;0;;0;0
250;481;250;481;;38.503;129.85
240;116;240;116;;24.058;27.695
414;379;414;379;;73.411;-95.856
0;0;0;0;;0;0
477;434;477;434;;48.159;-120.046
0;0;0;0;;0;0
398;260;398;260;;47.821;-11.121
366;372;366;372;;84.754;65.556
381;385;381;385;;84.936;-149.036
449;480;449;480;;45.693;-144.825
96;504;96;504;;23.056;114.659
558;509;558;509;;30.123;-126.213
355;193;355;193;;35.381;6.818
0;0;0;0;;0;0
460;100;460;100;;24.427;-17.059
290;421;290;421;;53.21;117.867
389;388;389;388;;81.74;-132.879
399;350;399;350;;74.65;-41.634
71;484;71;484;;22.054;109.606
384;367;384;367;;84.163;-41.987
441;266;441;266;;45.541;-30.735
244;249;244;249;;35.486;46.097
402;322;402;322;;65.034;-26.147
377;380;377;380;;87.657;-158.199
398;403;398;403;;74.605;-140.599
453;403;453;403;;57.8;-109.747
474;316;474;316;;48.536;-58.36
